새우살계란찜,서,
골뱅이야채무침,메,
무초절이,김,
깻잎무침,서,
돼지고기김치찜,김,
돼지고기부추볶음,김,
상추오이무침,서,
오징어브로콜리숙회,메,
새우볶음밥,밥,
콩나물냉국,국,
마늘쫑멸치볶음,서,
팝콘형치킨,메,
훈제오리야채볶음,메,
만두탕수,메,
북어채미역국,국,
떡만둣국,국,
햄소시지찌개,국,
핫도그,버거,
소불고기,메,
닭고기양념튀김,메,
콩나물파채초무침,서,
두부버섯조림,메,
근대콩나물조개국,국,
쇠고기가지볶음,메,
오리매운찜,메,
브로콜리&초고추장,서,
오징어깐풍기,메,
낙지불고기덮밥,밥,
배추두부국,국,
고등어순살마늘튀김,메,
건새우콩나물국,국,
순두부버섯탕,국,
감자탕,국,
칠리오징어실채무침,메,
가지튀김,메,
전투식량12형,예외,
비엔나소시지어묵볶음,메,
양배추쌈&저염쌈장,서,
소시지칠리볶음,메,
패주버섯볶음,서,
마늘종돼지고기볶음,메,
햄계란찜,서,
갈비탕,국,
매실피클무침,서,
*계란후라이,서,
버섯감자채볶음,서,
떡찜,메,
미트볼스파게티,면,
전복죽,밥,
참치김치볶음,메,
주꾸미삼겹살볶음,메,
칠리새우,메,
홍합미역국,국,
전복쇠고기영양밥&양념장,밥,
오징어실채케찹볶음,메,
게맛살볶음밥,밥,
파닭/양파닭,메,
사골떡만둣국,국,
양배추쌈&우렁쌈장,서,
계란후라이/스크램블에그,서,
햄야채볶음밥,밥,
우럭매운탕,국,
낙지떡볶이,메,
양념치킨/후라이드치킨,메,
부추비빔밥,밥,
미트볼튀김,메,
카레돈가스,메,
돈육굴소스볶음,메,
닭순살카레볶음,메,
쇠고기국밥,밥,
볶음우동,메,
크림떡볶이,메,
패주미역국,국,
만두강정,메,
냉이된장국,국,
비엔나소시어묵볶음,메,
꽁치튀김고추장소스,메,
해물잡채,메,
찐고구마,서,
새우두부칠리소스조림,메,
뿌리채소맛탕,메,
자장떡볶이,메,
토마토/크림스파게티,면,
오징어데리야끼덮밥,밥,
고추참치통조림찌개,메,
감자미역국,국,
닭순살우엉조림,메,
콩나물국밥,밥,
연근채소잡채,메,
패주전복버섯볶음,메,
"전투식량2형,S형",예외,
닭고기우엉덮밥,밥,
연근닭순살조림,메,
민대구탕,국,
우엉채소튀김&유자소스,메,
명태무찌개,국,
짬뽕,국,
단호박튀김,메,
육고기소스비빔밥,밥,
모듬야채&저염쌈장,서,
참치마요덮밥,밥,
코다리순살강정,메,
청경채쇠고기두반장볶음,메,
쑥갓상추무침,서브,
찐감자,서브,
홍합갑오징어버터볶음,메,
로제스파게티,면,
비엔나소시지감자조림,메,
주꾸미볶음,메,
사과오이무침,서,
광어순살튀김,메,
얼큰북어채국,국,
돼지고기부추덮밥,밥,
감자맛탕,서,
햄슬라이스야채볶음,메,
감자호박국,국,
맛살피망볶음,메,
쑥갓두부무침,메,
오이달래무침,서,
모듬피클,서,
궁중닭찜,메,
크림수프,국,
게맛살계란찜,서,
달래된장국,국,
사골떡왕만둣국,국,
맑은오징어볶음,메,
오징어덮밥,밥,
과일,서,
굴패주해산물야채볶음,메,
갑오징어야채무침,메,
야채샐러드C510:야채샐러드대,서,
베이컨감자피망볶음,메,
굴미역국,국,
치즈불닭,메인,
오징어잡채,메,
굴국,국,
쇠고기,메인,
무청시래기국,국,
단호박찜,서,
치킨떡볶이,메인,
코다리양념찜,메,
시래기감자탕,국,
낙지불고기,메,
갑오징어튀김,메,
쭈꾸미떡볶음,메,
미역초무침,서,
단호박톳밥,밥,
사골곰탕G614:사골곰탕대,국,
냉동바지락살무침,서,
참치야채전,메,
해물볶음밥,밥,
새우튀김케첩볶음,메,
부추전,서,
버섯잡채밥,밥,
떡갈비구이,메,
달걀참치전,메,
휘시차우더수프,국,
참치김치찌개,국,
무청시래기비빔밥,밥,
쇠고기우거지국,국,
무청시래기볶음,서,
열무비빔밥,밥,
콩나물해물밥,밥,
돼지고기케첩볶음,메인,
무청시래기생선조림,메인,
닭백숙,국,
조기조림,메인,
쭈꾸미야채볶음,메인,
양파무침,서브,
새우순살짬뽕찌개,국,
해물볶음우동,밥,
밥2,밥,
마늘불고기,메인,
숙성김치,김치,
떡국,국,
짜장떡볶이,메인,
갑오징어해물찌개,국,
느타리버섯볶음,메인,
감자밥,밥,
골뱅이오징어채무침,메인,
파닭,메인,
감자수제비국,국,
쇠고기볶음밥,밥,
우엉잡채,메인,
양상추샐러드,서브,
조기매운탕,국,
꽁치무조림,메인,
카레떡볶이,메인,
임시3,예,
