식품명,식품군명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎),콜레스테롤(㎎)
그랜드,유가공품,80,g,280,-,55,1,0,13,12,17,0
요플레 바이오플레 플레인,유가공품,140,g,140,-,70,2,0,16,10,140,3
떠먹는 불가리스 포도,유가공품,85,g,85,-,80,3,2.4,11,10,50,10
메치니코프 플레인사과,유가공품,140,g,140,-,150,5,4.2,27,12,70,16
요구르트 280 ,유가공품,80,g,280,-,30,1,0,7,5,15,0
바이오 프로바이오틱 딸기 요거트,유가공품,85,g,85,-,85,3.2,1.7,14,13.5,60,5
슈퍼100 복숭아,유가공품,90,g,90,-,90,3,2,15,12,50,8
풀무원다논 그릭 플레인,유가공품,95,g,450,-,95,6,2.4,13,10,55,10
패밀리 요구르트 Deliht,유가공품,80,g,750,-,45,1,0,10,6,10,0
슈퍼100 블루베리,유가공품,90,g,90,-,85,3,2,14,12,45,8
장건강프로바이오틱 블루베리,유가공품,150,g,150,-,102,4,2,4,14.5,17,93
데일리 요구르트 / 냉장,유가공품,80,g,750,-,60,1,0,14,12,20,0
메치니코프 플레인베리믹스,유가공품,140,g,140,-,145,5,4.2,26,12,70,16
에포카요구르트,유가공품,65,g,65,-,40,0.7,0,10,9,15,0
요플레 오리지널 복숭아,유가공품,85,g,85,-,85,3,2.5,13,11,50,10
바이오 프로바이오틱 드링킹요거트 플레인,유가공품,100,g,250,-,80,3,2.1,12,10,65,10
비락 모닝닥터요구르트,유가공품,100,g,65,-,35,1,0,8,7,10,0
자연의 시작 불가리스,유가공품,150,g,150,-,135,5,4,21,11,85,16
초이스,유가공품,65,g,65,-,45,0.7,0,10,9,15,0
빅 요구르트,유가공품,270,g,270,-,172,3,0,40,30,55,0
요플레 플레인 화이트,유가공품,100,g,430,-,67.5,3,3.5,6,3.2,45,15
바이오 프로바이오틱 플레인 스위트,유가공품,150,g,150,-,110,5,1.8,19,16,75,10
남양 자연의 시작 불가리스 포도,유가공품,150,g,150,-,135,5,4,21,11,85,16
