주꾸미미나리초무침,주꾸미볶음,
마늘소스돼지고기강정,돼지고기볶음,
비빔당면,참당면,
닭고기카레볶음,닭볶음,
미나리콩나물무침,콩나물무침,
생선묵콩나물볶음,어묵볶음,
야채삼겹살볶음,돼지고기볶음,
주꾸미덮밥,낙지쭈꾸미볶음밥,
소시지케찹볶음,소시지볶음,
멸치마요비빔소스,핫소스,
장어순살강정,고등어튀김,
오이풋고추된장무침,오이부추무침,
김치리조또,김치볶음밥,
모듬야채&우렁강된장,"양상추, 생것",
게맛살튀김,게맛살,
오징어탕수,오징어튀김,
야채샐러드,양배추샐러드,
새우살계란찜,달걀찜,
골뱅이야채무침,골뱅이무침,
무초절이,"쌈무, 초절임",
깻잎무침,들깻잎장아찌,
돼지고기김치찜,돼지고기볶음,
돼지고기부추볶음,돼지고기볶음,
상추오이무침,오이부추무침,
오징어브로콜리숙회,오징어무침,
콩나물냉국,콩나물국,
마늘쫑멸치볶음,멸치볶음,
팝콘형치킨,양념치킨,
훈제오리야채볶음,훈제오리,
만두탕수,고기만두,
북어채미역국,미역국,
햄소시지찌개,부대찌개,
닭고기양념튀김,양념치킨,
콩나물파채초무침,콩나물무침,
두부버섯조림,두부조림,
근대콩나물조개국,콩나물국,
쇠고기가지볶음,쇠고기볶음,
오리매운찜,훈제오리,
브로콜리&초고추장,"브로콜리, 생것",
오징어깐풍기,깐풍기,
낙지불고기덮밥,낙지덮밥,
배추두부국,쇠고기배추국,
고등어순살마늘튀김,고등어튀김,
건새우콩나물국,콩나물국,
순두부버섯탕,순두부찌개,
칠리오징어실채무침,오징어무침,
가지튀김,가지전,
전투식량12형,,////
비엔나소시지어묵볶음,소시지볶음,
양배추쌈&저염쌈장,쌈장,
소시지칠리볶음,소시지볶음,
패주버섯볶음,양송이버섯볶음,
마늘종돼지고기볶음,돼지고기볶음,
햄계란찜,달걀찜,
매실피클무침,피클,
*계란후라이,달걀프라이,
버섯감자채볶음,감자볶음,
떡찜,쇠고기볶음,
미트볼스파게티,오뚜기 스파게티,
참치김치볶음,고추참치,
주꾸미삼겹살볶음,돼지고기볶음,
칠리새우,"새우, 생것",
전복쇠고기영양밥&양념장,쇠고기볶음밥,
오징어실채케찹볶음,오징어무침,
게맛살볶음밥,게살볶음밥,
파닭/양파닭,양념치킨,
사골떡만둣국,떡만두국,
양배추쌈&우렁쌈장,쌈장,
계란후라이/스크램블에그,달걀프라이,
햄야채볶음밥,비비고 햄야채볶음밥,
낙지떡볶이,떡볶이,
양념치킨/후라이드치킨,양념치킨,
부추비빔밥,비빔밥,
미트볼튀김,미트볼,
카레돈가스,돈까스,
